,Country/Territory,UN region,ForecastIMF,Forecast_year,World_bank_estimate,World_bank_year,CIA_estimate,CIA_year
139,Brunei,Asia,"15,153",2023,"16,682",2022,"14,006",2021
140,Afghanistan,Asia,—,—,"14,939",2021,,2021
141,Mauritius,Africa,"14,819",2023,"12,898",2022,"11,525",2021
142,Congo,Africa,"14,407",2023,"14,616",2022,"12,841",2021
143,Laos,Asia,"14,244",2023,"15,724",2022,"19,074",2021
144,Rwanda,Africa,"13,927",2023,"13,313",2022,"11,070",2021
145,Bahamas,Americas,"13,876",2023,"12,897",2022,"11,209",2021
146,Malawi,Africa,"13,176",2023,"13,165",2022,"12,199",2021
147,Kyrgyzstan,Asia,"12,681",2023,"10,931",2022,"8,741",2021
148,Namibia,Africa,"12,647",2023,"12,607",2022,"12,236",2021
149,Chad,Africa,"12,596",2023,"12,704",2022,"16,410",2021
150,Tajikistan,Asia,"11,816",2023,"10,492",2022,"8,746",2021
151,Somalia,Africa,"11,515",2023,"8,126",2022,"7,628",2021
152,Kosovo,Europe,"10,469",2023,"9,429",2022,"9,412",2021
153,Mauritania,Africa,"10,357",2023,"10,375",2022,"9,996",2021
154,New Caledonia,Oceania,—,—,"10,071",2021,,2021
155,Equatorial Guinea,Africa,"10,041",2023,"11,814",2022,"12,431",2021
156,Togo,Africa,"9,111",2023,"8,126",2022,"8,160",2021
157,Monaco,Europe,—,—,"8,596",2021,,2021
158,Bermuda,Americas,—,"7,551",2022,"7,231",2021,2021
159,Montenegro,Europe,"7,058",2023,"6,096",2022,"5,809",2021
160,Maldives,Asia,"6,977",2023,"6,190",2022,"5,406",2021
161,Liechtenstein,Europe,—,—,"6,608",2021,,2021
162,South Sudan,Africa,"6,267",2023,—,"4,304",2021,2021
163,Barbados,Americas,"6,220",2023,"5,638",2022,"4,844",2021
164,French Polynesia,Oceania,—,—,"6,055",2021,,2021
165,Cayman Islands,Americas,—,—,"5,809",2021,,2021
166,Fiji,Oceania,"5,511",2023,"4,943",2022,"4,296",2021
167,Eswatini,Africa,"4,648",2023,"4,854",2022,"4,732",2021
168,Liberia,Africa,"4,347",2023,"4,001",2022,"2,445",2021
169,Djibouti,Africa,"3,873",2023,"3,515",2022,"3,701",2021
170,Aruba,Americas,"3,827",2023,—,"3,126",2021,2021
171,Andorra,Europe,"3,692",2023,"3,352",2022,"3,325",2021
